"color","cut","clarity","price","city","depth","carat","table","x","y","z"
J,Premium,VS2,4268,Dubai,62.4,1.21,58.0,6.83,6.79,4.25
H,Very Good,VS2,505,Kimberly,63.0,0.32,57.0,4.35,4.38,2.75
G,Fair,VS1,2686,Las Vegas,65.5,0.71,55.0,5.62,5.53,3.65
D,Good,SI1,738,Kimberly,63.8,0.41,56.0,4.68,4.72,3.0
G,Ideal,SI1,4882,Dubai,60.5,1.02,59.0,6.55,6.51,3.95
F,Ideal,SI2,9057,Tel Aviv,61.2,1.52,57.0,7.45,7.39,4.54
H,Fair,VS2,3733,Amsterdam,65.2,1.01,56.0,6.23,6.19,4.05
J,Ideal,VS1,8608,Kimberly,62.3,1.52,58.0,7.32,7.35,4.57
H,Ideal,VS1,557,Zurich,61.8,0.31,54.2,4.33,4.37,2.69
G,Ideal,SI1,6741,Antwerp,61.7,1.14,56.0,6.71,6.75,4.15
E,Premium,SI1,1040,Las Vegas,62.3,0.44,59.0,4.88,4.84,3.03
I,Premium,SI1,4284,Tel Aviv,58.0,1.02,58.0,6.84,6.6,3.9
I,Ideal,SI2,3101,Madrid,62.3,0.93,57.0,6.2,6.22,3.87
G,Premium,VS1,14507,Paris,60.1,1.51,58.0,7.48,7.45,4.49
H,Ideal,SI2,10349,Surat,61.6,1.65,55.0,7.58,7.62,4.68
G,Good,SI2,6006,Paris,57.5,1.5,63.0,7.53,7.49,4.32
D,Ideal,VS1,1207,Amsterdam,62.1,0.43,56.0,4.85,4.87,3.02
G,Premium,VS2,983,Surat,60.8,0.38,61.0,4.66,4.65,2.83
I,Ideal,VS1,3548,Luxembourg,61.9,0.85,56.0,6.08,6.1,3.77
D,Premium,SI2,11078,Tel Aviv,60.7,1.53,60.0,7.45,7.41,4.51
H,Premium,VS2,11177,Kimberly,61.0,1.54,60.0,7.46,7.42,4.54
G,Premium,SI2,1740,London,62.0,0.71,59.0,5.69,5.65,3.52
G,Very Good,VS1,605,Zurich,61.7,0.3,56.0,4.29,4.33,2.66
G,Ideal,IF,12932,Amsterdam,61.3,1.3,56.0,7.03,7.06,4.32
G,Premium,SI1,574,Madrid,62.9,0.3,59.0,4.28,4.24,2.68
I,Ideal,SI2,2873,London,61.7,1.0,56.0,6.45,6.41,3.97
G,Premium,VS2,6216,Antwerp,61.6,1.0,54.0,6.49,6.46,3.99
D,Premium,SI1,3568,New York City,61.7,0.9,56.0,6.16,6.09,3.78
H,Very Good,SI1,7066,Antwerp,63.2,1.55,57.0,7.35,7.31,4.64
H,Premium,SI2,3054,Antwerp,61.1,1.01,60.0,6.46,6.41,3.93
G,Premium,SI2,4969,Tel Aviv,62.5,1.16,58.0,6.72,6.68,4.19
H,Ideal,VVS1,743,Amsterdam,62.0,0.35,53.9,4.5,4.53,2.8
H,Ideal,VVS1,6801,Zurich,60.4,0.97,57.0,6.4,6.48,3.89
E,Ideal,SI2,5717,Surat,60.2,1.19,57.0,6.84,6.87,4.13
H,Very Good,VS1,2422,Kimberly,62.1,0.7,56.0,5.65,5.68,3.52
H,Very Good,SI1,2553,Kimberly,63.2,0.8,54.0,5.93,5.88,3.73
I,Premium,SI2,14208,Dubai,61.3,2.0,59.0,8.13,8.09,4.97
E,Very Good,VS2,2858,Antwerp,63.5,0.71,59.0,5.68,5.59,3.58
F,Premium,SI1,5292,Zurich,60.3,1.0,58.0,6.47,6.43,3.89
E,Ideal,SI2,1240,Surat,62.4,0.5,57.0,5.07,5.03,3.15
G,Ideal,VVS2,1875,Kimberly,61.3,0.51,57.0,5.12,5.15,3.15
G,Premium,SI2,3861,Kimberly,62.2,1.04,59.0,6.57,6.49,4.06
G,Ideal,VVS2,2587,Antwerp,61.8,0.64,54.0,5.53,5.56,3.42
E,Ideal,VS2,3648,Surat,62.2,0.8,57.0,5.95,5.98,3.71
D,Ideal,SI1,552,London,61.9,0.3,56.0,4.28,4.31,2.66
E,Premium,VS2,866,Kimberly,61.8,0.38,58.0,4.61,4.64,2.86
G,Ideal,VS1,625,Antwerp,62.1,0.31,55.0,4.33,4.37,2.7
H,Fair,SI1,3830,New York City,55.2,1.0,64.0,6.69,6.64,3.68
G,Ideal,VS2,3184,Surat,61.7,0.78,55.0,5.94,5.89,3.65
D,Very Good,SI1,5671,Zurich,59.8,1.0,59.0,6.47,6.51,3.88
H,Very Good,VS1,2399,New York City,60.3,0.7,63.0,5.77,5.73,3.47
F,Very Good,SI1,1688,Antwerp,60.7,0.64,59.0,5.51,5.59,3.37
I,Ideal,VS1,513,Surat,61.3,0.31,55.6,4.37,4.4,2.69
G,Ideal,VS2,1549,London,61.9,0.52,55.0,5.15,5.18,3.2
E,Ideal,VS1,1002,London,62.6,0.33,57.0,4.42,4.4,2.76
H,Very Good,VVS1,878,Tel Aviv,63.4,0.3,57.0,4.31,4.27,2.72
J,Good,SI1,3679,Luxembourg,63.9,1.0,60.0,6.26,6.19,3.98
E,Ideal,I1,495,Tel Aviv,60.3,0.3,57.0,4.39,4.36,2.64
H,Premium,VS1,1221,New York City,61.8,0.47,58.0,4.99,4.94,3.07
H,Ideal,VS1,13839,Surat,60.7,1.59,56.0,7.54,7.58,4.59
G,Good,SI1,5113,Dubai,63.7,1.01,60.0,6.32,6.28,4.01
H,Ideal,SI1,628,Kimberly,62.6,0.34,56.0,4.48,4.46,2.8
